pc vector number	part	type	shu	ke	pc vector number	PC1	PC2			
RJ.57	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.57	0.161986868	0.045774849			
RJ.570	2Rhizosp.	Temperate grassland	Artemisia Linn.	Asteraceae	RJ.570	0.081482656	-0.024817537			
RJ.571	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.571	0.154094941	0.086135256			
RJ.575	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.575	0.203854632	0.082543523			
RJ.577	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.577	0.007303651	-0.198249975			
RJ.578	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.578	0.134553535	0.121611317			
RJ.579	2Rhizosp.	Warm-temperate grassland	Stipa	Gramineae	RJ.579	0.193440684	0.069327488			
RJ.58	2Rhizosp.	Temperate grassland	Artemisia Linn.	Asteraceae	RJ.58	0.044606784	0.095155842			
RJ.59	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.59	0.153354013	0.071111491			
RJ.6	2Rhizosp.	Warm-temperate grassland	Stipa	Gramineae	RJ.6	0.127704083	0.055433635			
RJ.60	2Rhizosp.	Warm-temperate grassland	Stipa	Gramineae	RJ.60	0.129213611	0.024897721			
RJ.600	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.600	0.167416088	0.078476172			
RJ.61	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.61	0.150735134	0.100789133			
RJ.67	2Rhizosp.	Warm-temperate grassland	other	Gramineae	RJ.67	0.102828179	0.081701781			
RJ.69	2Rhizosp.	Temperate grassland	other	Gramineae	RJ.69	0.164863813	0.077467148			
RJ.72	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.72	0.172745906	0.040167103			
RJ.74	2Rhizosp.	Desert steppe	Artemisia Linn.	Asteraceae	RJ.74	-0.06657794	-0.298467676			
RJ.76	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.76	0.14727741	-0.025052805			
RJ.79	2Rhizosp.	Desert steppe	Artemisia Linn.	Asteraceae	RJ.79	0.136890899	0.006267289			
RJ.82	2Rhizosp.	Desert steppe	Artemisia Linn.	Asteraceae	RJ.82	0.015144564	-0.079088649			
RJ.87	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.87	0.092885862	-0.089753009			
RJ.88	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.88	0.176693511	0.017463461			
RJ.9	2Rhizosp.	Warm-temperate grassland	Agropyron	Gramineae	RJ.9	0.134938712	0.060299108			
RJ.90	2Rhizosp.	Desert steppe	other	Gramineae	RJ.90	-0.154921965	-0.41860965			
RJ.91	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.91	-0.004938287	-0.21303018			
RJ.93	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.93	-0.151845713	-0.503207627			
RJ.94	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.94	-0.087234714	-0.405542397			
RJ.B001	2Rhizosp.	Temperate grassland	Agropyron	Gramineae	RJ.B001	0.163280997	0.048390541			
RJ.B002	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.B002	0.114385386	-0.014844296			
RJ.B003	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.B003	0.206083789	0.03429744			
RJ.B583	2Rhizosp.	Warm-temperate grassland	Stipa	Gramineae	RJ.B583	0.182371752	0.066239302			
RJ.B585	2Rhizosp.	Warm-temperate grassland	Stipa	Gramineae	RJ.B585	0.219117589	0.072029582			
RJ.B585T	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.B585T	0.195171899	0.0743975			
S.101	1Soil	Desert steppe	Stipa	Gramineae	S.101	0.164303597	-0.04338966			
